Address,Balance
osmo19n3t99nry8ktrm59d5x5x2vj2czwckk6fhme86,5226751085
osmo19h9enj6pefn580f3a9ua4lhzdgl6lsxfzygvj7,20874535376
osmo14rcn5s80v2fthgzw0pkvkwgke4ss8ew8xw0wml,999996
osmo16wrw57quag5rtr3jsehquct92du4e4p8cfu3gq,88858138
osmo10vwgra9glpwdpk79qjjz6h2caj9yel8ysj43k0,390883417
osmo18a6aqwqmm2ltfjkh4w8ya0z5yx5grra3tq7mma,167550378
osmo12tm47mx4uuzp7sajrt3wnu7e32drdpy8xskgku,1724679039
osmo1vd3l3plh0q8y2234kg8zk02d8fg6jf87zsnk54,1847582711
osmo1g08qc9lvcwyg6wqal6ptg0wtn8snftj99dly4c,1326730657
osmo1vt6v3u2kdhpcap8urvl5frj6rzgzs0wth8qwvc,580648345
osmo10l74f3uxy7ce6pvnkadahlnzd7du6p7ffqh6gx,37783325600
osmo1syqpwkdhs6ey9z3vsm0eww4uad6h5jtav3kzv0,42702597413
osmo14tmyhnktwanccx42f6fnwhawehxze92k8zvf7w,82897492
osmo16lvj0lyr6897zr2n8psa2esv09ewaelcd0tqvt,49456079
osmo1rc0k4hs76n0vc3g9akq96cvvq78p32hemfc8pt,4688206947
osmo1xjapfntlvpz2uf738lud7yvxcutkvk24pz6t9s,127336331
osmo1txcjf2xv3zkj770jey4qa6kzkyhk5j0f2pqzmw,240662352
osmo1mh7muxc3q30rrp7lhr4dkq4nqf6ejqw439vph9,246327697
osmo1dl6z2z9d33mzu2d2x8mqehdackmt7ylfupjwg7,84601944
osmo1ncd6yvyfyytfy4ehpupxdenh02pducpsvwy628,1016517
osmo1ksp9ytyyuenddee0k78pgzkk28mdhr5n3ecjul,133456300
osmo1cwecw85ecn5zjppfsm59ddsa7gqa3pnfrzunsv,259658685
osmo1gtaegw4m2n7ww538fn3chnmnda5mqe737a36qz,67896614
osmo12fxajs8ngezzxj2pr6u6dfewzjwv87v259fknn,357180260
osmo126s88pyn4ar3cwfx4f3s8h0m0vcsxskz8dzjd5,2345142442
osmo13z58yn4pcdpevsl2krlj8y4sy0t2ykcn73af8y,5096087716
osmo1kkk4csueqyvynhn93hympa675gqns5wc97gmsm,39
osmo1e7t7uu2rxudtuttav7lmaha7j86nrk7z3t2n0d,2000000
osmo1maycl9pr2l9zjnqz0w7qdf6qk4ddmag50yf6pj,376492893
osmo1qanzjwu7kd78z44qpdhynkxd7wxuw6ezuafklq,88123259
osmo1rjwkcgz0rgz4ytqez8dc076nhf9dkxn9hu6zy9,995798
osmo1ggjrdrx6na74refkfpfj7vz25pez25d026e828,6089109844
osmo1u3fuztu74msuu5mjkxuj0fqn9v9dzwgjtl5n3m,6834440
osmo1u4nt7xdnqayqm2lxy0xn3733hgrza2ctffg30h,12344590
osmo179elmjwms6yk55nc998trjq2v35zz55ntcpvgh,7697976851
osmo17tf8fzr6s05qyccxcmtpvvxg355zq6avw6xmw9,17739811
osmo1pv03yz7y7atd72xtzzpyfqy8w3eu5rwv5j5kka,75672
osmo1v9639uu83al39njk3qf5l43fkz9vpddyawukls,1
osmo1cw87vu493q7uuc0vsh4alpna0fs6f2900vl584,18612962340
osmo108nm3f66cllgj70q6aumctc7cslkn3vsdpygmt,748875
osmo17lfqk0f03kccjt2u86ydcxnxjy6d8tfjef875y,4371818
osmo1pasnu3wly4gy0a5qwkrc5j99cv0zqj8g7s5yt5,6846590511
osmo1f5xcaerte807g2w77ew7q5c52fay7urxxvymwn,239804866
osmo12hcr0yrmrw29gqfgmnn03pdt7wnk3g8wwgkkds,1000526974
osmo1jpnc576mvptxvjxax92nh9ndux3dja6x5nr0m6,3477268112
osmo1jh5ugceamr6e3pnnz2rqnw6z0s3gc77v2tgy3n,1017
osmo1cyxg0u3x7d3v86dq3hqcc5q5kmvj0ah5gxx47t,3279771308
osmo1mhj2yzve0g937zc3zwftpess4ds7uyqsnmtgnv,6763359656
osmo1uv7gnaedaj0eg57jelmn5pcfza0rwg6e63zqrc,1659613542
osmo1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9au6qxl,54566059
osmo1g687z2ruacrrns3y9rg7gd62neavw4602hzmkg,1287195718
osmo100wc05kmt73lfaff9y4zlgksry6jc4v2ku50qd,21451000876
osmo1l6lcxgknzpm6cmmw3jfe0kneedgp3kuknn67n4,2381205636
osmo1j6248uvjy9z0cnqegnqqsf6dxyjs0cthvurjhu,13571672
osmo1ne4zple7m85s89vvpfyat284phvmyy7fdttt6l,1384163336
osmo15v7t5h3za0laxfv8ydzacfrwuyey7rp7rgwaam,88083345
osmo1k7plj8qa74vj3hflrh6kwv8ecc5lzjvx7srsfc,16745110602
osmo1zttlwly5wmcw99tg4dlt2qrtha6m2d23edjlrt,79842175569
osmo18ce0863ddp64wx5us4ekx5jj5ye7lkwvj9d5gc,117506
osmo12g2v4a7ej468c023x9f98zl9knddtwq0t78ve2,40000000
osmo17kav8azytka7486y92e6tewk2sh6r8erj7yl9l,2000000
osmo1ygxqw2lu36g4ta4szs9gxx7gmv7n4zaqtkwcka,32359487
osmo1t2t8uc9cktykl9hq39ue40pjhjx99qc4s3gcke,3416319810
osmo14yqr2q5u4sehadtfxx4rh4rjxzfht6ecvmv0s4,22121051041
osmo1e7r6jqr22f5zneh8dehwgnp3a5nlsr4lehvmqf,1522877
osmo16gntf3jag3l9trehf4zut5sp4qg2x72e0nflhg,14000000
osmo1mql46ppfxjwqljyynja0ea9m2jz5whmhqyh4l6,4310988791
osmo1lgfxd0tlrjfjyj2nw3f9safmdz0d8juy7upqpu,17510231584
osmo1fjut6w4yll5ldcqmwxra7lm854g5k4sawu4ktt,3618721829
osmo15hx6swvj325dckl6zrc8hxwqmarvzcg64p4ycs,5208824172
osmo15m7znl9atftrnu0j82h8h9dx7hcsflqteaxfam,22486693
osmo12dgkplte5luzww9jzfate60x4d6qj9g088t26u,2180788955
osmo13gn4k2jx7459rh9jz42js2c5zuzca37qpwd8x0,1141507509
osmo1hmukhvj55cdd5gzqqxcw9mwlrtcq539hxp9rlt,50000000
osmo1e9ssuga6s5kc79j4s6zdh5kj5ygpadkrjzhqlr,643147465
osmo1fwf32uq25a2j06w033sj4j0edqpr3qnsdnr0f5,100000
osmo1f4j6vh3qrflhr3x4p003e7gngcy2wufewpej7d,77069150350
osmo128fglcrjanfdmqvdk467q4tjpuraermpcc227s,6136689
osmo15v44t53y684rrjwgq234630tjphgue8kze6djq,359123900
osmo1xgz8nr6cpg2lfaewnm409aw4jxqnlea5q3pvhf,5429435
osmo1fywqdulyfhvshmr8eef0xklddhdfcrrc4agfvk,2741381065
osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,1193349
osmo1k2tylf5v03v3ptxe85wynfyu2d2dtvwp6fej5p,30908753847
osmo1c7khxslxeh0dkt8j6xysxajyxm4uqq97phx6hd,3583160006
osmo1e2csa2cezsa6z645dzzpka7p92gg6kur6t2f7e,35615329
osmo16040xe8mmsclakyvak96g9a9eavrcamnaf85n2,324053705
osmo1f0zelt4x8t9yx9wjfeqgy02t30ck792qcuxgyx,306061689
osmo1sg56838yk7jg7es3jfxu04436em0aqf7wkf9sj,59989995450
osmo15v5p53gjc8gg8v840dlf9m8wd75f5r0eawdfs3,197400999
osmo1x43ya0grrjerwak582l3uxn9zlpk9n047j8e6u,307237685
osmo1ggkvm8cw2ej6q36aj59dg2nenyhhpwr55nps0k,3989736107
osmo135c45q8tddh73648nlxg9xkgmam09r9yqadued,200000000
osmo154wg9zlte8f4mr6p9au7j5zyau8zm8eyvn7n6x,2590295306
osmo1zpgem09ftjmzjkz52gt2ak4mk4ehsuz28dljat,2172732664
osmo1zehv3gdlqjze4cpfqjhgjgc6664kl4qp3fsqq9,12773959
osmo1xjvte23d8v03nwryavn7akqvqlvd3e5hfwssqg,3798815171
osmo1e937k54p7fhf0wprl5r54aty3akq7wxgrtceps,32587779
osmo1v3fgacyt5f8lmguvrvtyjqqnpjmw2ncj35aayw,1227629
osmo1dxfr4zrgk90tkpshsfrkygsm7gy6w3r9puzn3s,1420269352
osmo1wgx6h9t3wn5v7zd9p9ksk87vupljqqfmf9dsl8,250000
osmo1m43cv73deaz4kesmkav3v6s0jq7shydeqvdpmu,26996829
osmo185mnz38j3uexaa9j4yl062ptjcnnvs2w0cacdm,2827607277
osmo1dlmkulzszmzkc6t59r4geq7ekkkjr2c2stj2yk,307382314400
osmo1czw3qxl6n7kf3r5m05ywp3fmwtap0ae97spwmh,492438506
osmo1gsr0utm8fkv5z2vrawv4f3mv7htn9dh9culka9,718236
osmo1vulkvr4v22yhlz87hahra8a307uz9ufexy369j,1168750577
osmo1npzj02hnf88up30lszgmmxzfjq9rrjal4le0m9,8720551851
osmo1pr3lptd4xcgxz27frmmjfg20vu79v65ddjql43,2521169860
osmo1zf2xj5egvp4hchf6qz08hcnq7lx49esh7mtw8j,37091620184
osmo1xh8ydf9rqxtyg7txh56wrcysadk3htflqghchq,926759
osmo19dlpu8wk43eazrjpyk9068uey4s2vrmtpcwu3w,722040
osmo1807ejwpzd7yeqevdrp32yx5tyjcq35xg38lk0k,1
osmo1dj3j99rljeyxk0xq4qce2fj6ex53lwst9szws5,19663405839
osmo10rk2v8pxjnldtxuy9ds0s5na9qjcmh5yvc8w8g,52606815418
osmo1nttfx0aaexwdmm433sjh7t65uhmuuzujp93ghp,666738005
osmo1qaup757qe2sftgcs7xyna8tdzaf9r9mhvwxl0t,560000000
osmo1prxm4k9a537v3ccd594n69mkl2x5ls6g8lmys6,793275503
osmo1yhdmj07ulzxjuun5rmsy83myz6quq5ts38xz4t,996989
osmo1m36a8caq49ald5h7fnuuxvfv48twxzl2py8qec,1000597
osmo1leqg0lmvx2glmum8f8nhpxykq065u322jcpxlk,1671826564
osmo1xe4r02lpgv698g4veydwe0hzglsynjfq88qk8p,1227882715
osmo1tza8u8l4mqjyy8pn8ryssl52aqs2e4y3rsvxt5,142043
osmo15a6vm7skdk5rpxp359p4m59kj79fae604eseyd,1159898576
osmo1msycheygr5m3t2frfudkf25yzpu5urhxgec0v0,434621204
osmo1mu230plx3e4z6cupcwaujrz5smj7u39arn4dy8,5175853910
osmo1zs04tjvc9alk9yqq3h27zczs75vp0n6629p447,2000000
osmo1yeac5tgm4mqwl4fyrqp34s0gq5fy8ugxsfd262,100000000
osmo1xcqt9tu9q9jzculqrryzp3v472336vlf052vq8,2828628644
osmo12dvsu2q2yr36g9dmy4ymcsngle85lxhcgd9kje,205850875
osmo1vr3p4yyk0vkjekrvhmjvnj4g5ypl8exaqjc8vm,72121844594
osmo1e0f2lvpnrgmfzd97p7w3kvp7na25nsrljqs33z,1039502384
osmo1gty5x97z63mxvdnmfh45d43z2fcenfnydg5ld9,1131266313
osmo1fyu2fqaf7h2puzj3fqpz7f2t5xeymjwj7ezpdk,489166013
osmo12v3lk6g6cad9p6mec9s29f4yle7g4cfvzfzlt5,10384893036
osmo1wfp2pc0pn3ykmsptk5hl7yq7nnqe3pcm7xus50,47497782
osmo10zcrxlqdh4f3tv6gl2felanz3xzsnktqnvunq8,50188553515
osmo1sfjk4m0hkey7h0jxmx00z30474tcw9m7j7w0tt,650824347
osmo1ng2w7f0mr2wt2aphw0d975xgx4j2fxrr4kkxmz,125367628
osmo15eryc48ssk2hkq3pq3c33u6v0rjshdjg670dg3,44902123741
osmo1yw88pxs3ntf6gemtesufxdauhr9u6f40jy5uf7,2289157219
